Id,Title,Acceptance,Difficulty,Frequency,Link
211,Design Add and Search Words Data Structure,40.70%,Medium,54.5141,https://leetcode.com/problems/design-add-and-search-words-data-structure
51,N-Queens,50.40%,Hard,54.4482,https://leetcode.com/problems/n-queens
45,Jump Game II,31.80%,Medium,54.394,https://leetcode.com/problems/jump-game-ii
226,Invert Binary Tree,67.50%,Easy,54.364,https://leetcode.com/problems/invert-binary-tree
122,Best Time to Buy and Sell Stock II,58.90%,Easy,54.3142,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
403,Frog Jump,41.80%,Hard,54.2735,https://leetcode.com/problems/frog-jump
909,Snakes and Ladders,39.30%,Medium,54.241,https://leetcode.com/problems/snakes-and-ladders
1029,Two City Scheduling,58.30%,Medium,54.0238,https://leetcode.com/problems/two-city-scheduling
895,Maximum Frequency Stack,63.30%,Hard,53.9657,https://leetcode.com/problems/maximum-frequency-stack
1091,Shortest Path in Binary Matrix,40.20%,Medium,53.9041,https://leetcode.com/problems/shortest-path-in-binary-matrix
545,Boundary of Binary Tree,40.50%,Medium,53.9034,https://leetcode.com/problems/boundary-of-binary-tree
1531,String Compression II,34.10%,Hard,53.8948,https://leetcode.com/problems/string-compression-ii
718,Maximum Length of Repeated Subarray,50.60%,Medium,53.7762,https://leetcode.com/problems/maximum-length-of-repeated-subarray
169,Majority Element,60.30%,Easy,53.7578,https://leetcode.com/problems/majority-element
323,Number of Connected Components in an Undirected Graph,58.40%,Medium,53.6906,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph
1359,Count All Valid Pickup and Delivery Options,55.90%,Hard,53.5979,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options
162,Find Peak Element,44.10%,Medium,53.5213,https://leetcode.com/problems/find-peak-element
465,Optimal Account Balancing,48.60%,Hard,53.3864,https://leetcode.com/problems/optimal-account-balancing
503,Next Greater Element II,58.90%,Medium,53.2939,https://leetcode.com/problems/next-greater-element-ii
150,Evaluate Reverse Polish Notation,38.40%,Medium,53.2661,https://leetcode.com/problems/evaluate-reverse-polish-notation
300,Longest Increasing Subsequence,44.70%,Medium,53.2556,https://leetcode.com/problems/longest-increasing-subsequence
1242,Web Crawler Multithreaded,47.80%,Medium,53.0883,https://leetcode.com/problems/web-crawler-multithreaded
1578,Minimum Deletion Cost to Avoid Repeating Letters,60.70%,Medium,52.925,https://leetcode.com/problems/minimum-deletion-cost-to-avoid-repeating-letters
1423,Maximum Points You Can Obtain from Cards,47.00%,Medium,52.6725,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards
1353,Maximum Number of Events That Can Be Attended,30.60%,Medium,52.652,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
356,Line Reflection,33.10%,Medium,52.6365,https://leetcode.com/problems/line-reflection
355,Design Twitter,31.70%,Medium,52.511,https://leetcode.com/problems/design-twitter
65,Valid Number,16.10%,Hard,52.3912,https://leetcode.com/problems/valid-number
723,Candy Crush,73.20%,Medium,52.3369,https://leetcode.com/problems/candy-crush
1178,Number of Valid Words for Each Puzzle,39.80%,Hard,52.303,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle
763,Partition Labels,78.10%,Medium,52.2723,https://leetcode.com/problems/partition-labels
539,Minimum Time Difference,52.50%,Medium,52.2443,https://leetcode.com/problems/minimum-time-difference
442,Find All Duplicates in an Array,69.20%,Medium,52.1589,https://leetcode.com/problems/find-all-duplicates-in-an-array
93,Restore IP Addresses,38.00%,Medium,52.0653,https://leetcode.com/problems/restore-ip-addresses
529,Minesweeper,61.60%,Medium,52.0268,https://leetcode.com/problems/minesweeper
339,Nested List Weight Sum,77.00%,Medium,51.773,https://leetcode.com/problems/nested-list-weight-sum
761,Special Binary String,58.80%,Hard,51.6498,https://leetcode.com/problems/special-binary-string
365,Water and Jug Problem,31.40%,Medium,51.6442,https://leetcode.com/problems/water-and-jug-problem
218,The Skyline Problem,36.70%,Hard,51.44,https://leetcode.com/problems/the-skyline-problem
426,Convert Binary Search Tree to Sorted Doubly Linked List,61.70%,Medium,51.4271,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
209,Minimum Size Subarray Sum,39.90%,Medium,51.2627,https://leetcode.com/problems/minimum-size-subarray-sum
115,Distinct Subsequences,40.10%,Hard,51.2245,https://leetcode.com/problems/distinct-subsequences
934,Shortest Bridge,50.00%,Medium,51.0757,https://leetcode.com/problems/shortest-bridge
133,Clone Graph,40.10%,Medium,50.7446,https://leetcode.com/problems/clone-graph
359,Logger Rate Limiter,72.70%,Easy,50.6957,https://leetcode.com/problems/logger-rate-limiter
